,Country,Flag,Path,Folder,WebPath
77,Belize,Belize.png,assets/flags_new/png-1024/Belize.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Belize.png
78,Seychelles,Seychelles.png,assets/flags_new/png-1024/Seychelles.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Seychelles.png
79,Ghana,Ghana.png,assets/flags_new/png-1024/Ghana.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Ghana.png
80,Northern-26983,Northern-26983.png,assets/flags_new/png-1024/Northern-26983.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Northern-26983.png
81,Brazil,Brazil.png,assets/flags_new/png-1024/Brazil.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Brazil.png
82,Sao,Sao.png,assets/flags_new/png-1024/Sao.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Sao.png
83,Mexico,Mexico.png,assets/flags_new/png-1024/Mexico.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Mexico.png
84,Norway,Norway.png,assets/flags_new/png-1024/Norway.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Norway.png
85,Jordan,Jordan.png,assets/flags_new/png-1024/Jordan.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Jordan.png
86,Liechtenstein,Liechtenstein.png,assets/flags_new/png-1024/Liechtenstein.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Liechtenstein.png
87,Canada,Canada.png,assets/flags_new/png-1024/Canada.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Canada.png
88,Cocos,Cocos.png,assets/flags_new/png-1024/Cocos.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Cocos.png
89,Slovakia,Slovakia.png,assets/flags_new/png-1024/Slovakia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Slovakia.png
90,Albania,Albania.png,assets/flags_new/png-1024/Albania.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Albania.png
91,Mayotte,Mayotte.png,assets/flags_new/png-1024/Mayotte.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Mayotte.png
92,Netherlands,Netherlands.png,assets/flags_new/png-1024/Netherlands.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Netherlands.png
93,Itcairn,Itcairn.png,assets/flags_new/png-1024/Itcairn.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Itcairn.png
94,Mn,Mn.png,assets/flags_new/png-1024/Mn.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Mn.png
95,Falkland,Falkland.png,assets/flags_new/png-1024/Falkland.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Falkland.png
96,Mauritius,Mauritius.png,assets/flags_new/png-1024/Mauritius.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Mauritius.png
97,Saint,Saint.png,assets/flags_new/png-1024/Saint.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Saint.png
98,Wallis,Wallis.png,assets/flags_new/png-1024/Wallis.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Wallis.png
99,Peru,Peru.png,assets/flags_new/png-1024/Peru.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Peru.png
100,Bostwana,Bostwana.png,assets/flags_new/png-1024/Bostwana.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Bostwana.png
101,Tajikistan,Tajikistan.png,assets/flags_new/png-1024/Tajikistan.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Tajikistan.png
102,Italy,Italy.png,assets/flags_new/png-1024/Italy.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Italy.png
103,Saint-14653,Saint-14653.png,assets/flags_new/png-1024/Saint-14653.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Saint-14653.png
104,Burkina,Burkina.png,assets/flags_new/png-1024/Burkina.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Burkina.png
105,Holy,Holy.png,assets/flags_new/png-1024/Holy.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Holy.png
106,Norfolk,Norfolk.png,assets/flags_new/png-1024/Norfolk.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Norfolk.png
107,Bulgaria,Bulgaria.png,assets/flags_new/png-1024/Bulgaria.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Bulgaria.png
108,Rwanda,Rwanda.png,assets/flags_new/png-1024/Rwanda.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Rwanda.png
109,Western,Western.png,assets/flags_new/png-1024/Western.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Western.png
110,Jamaica,Jamaica.png,assets/flags_new/png-1024/Jamaica.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Jamaica.png
111,Saint-10536,Saint-10536.png,assets/flags_new/png-1024/Saint-10536.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Saint-10536.png
112,Liberia,Liberia.png,assets/flags_new/png-1024/Liberia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Liberia.png
113,Aruba,Aruba.png,assets/flags_new/png-1024/Aruba.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Aruba.png
114,Isle,Isle.png,assets/flags_new/png-1024/Isle.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Isle.png
115,Bosnia,Bosnia.png,assets/flags_new/png-1024/Bosnia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Bosnia.png
116,Comoros,Comoros.png,assets/flags_new/png-1024/Comoros.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Comoros.png
117,Mozambique,Mozambique.png,assets/flags_new/png-1024/Mozambique.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Mozambique.png
118,Moldova,Moldova.png,assets/flags_new/png-1024/Moldova.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Moldova.png
119,Saint-25897,Saint-25897.png,assets/flags_new/png-1024/Saint-25897.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Saint-25897.png
120,Namibia,Namibia.png,assets/flags_new/png-1024/Namibia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Namibia.png
121,Zimbabwe,Zimbabwe.png,assets/flags_new/png-1024/Zimbabwe.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Zimbabwe.png
122,Central,Central.png,assets/flags_new/png-1024/Central.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Central.png
123,Nepal,Nepal.png,assets/flags_new/png-1024/Nepal.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Nepal.png
124,Uzbekistan,Uzbekistan.png,assets/flags_new/png-1024/Uzbekistan.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Uzbekistan.png
125,Federated,Federated.png,assets/flags_new/png-1024/Federated.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Federated.png
126,Luxembourg,Luxembourg.png,assets/flags_new/png-1024/Luxembourg.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Luxembourg.png
127,Tonga,Tonga.png,assets/flags_new/png-1024/Tonga.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Tonga.png
128,Cote,Cote.png,assets/flags_new/png-1024/Cote.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Cote.png
129,Philippines,Philippines.png,assets/flags_new/png-1024/Philippines.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Philippines.png
130,Nigeria,Nigeria.png,assets/flags_new/png-1024/Nigeria.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Nigeria.png
131,Slovenia,Slovenia.png,assets/flags_new/png-1024/Slovenia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Slovenia.png
132,Spain,Spain.png,assets/flags_new/png-1024/Spain.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Spain.png
133,Sri,Sri.png,assets/flags_new/png-1024/Sri.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Sri.png
134,Gabon,Gabon.png,assets/flags_new/png-1024/Gabon.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Gabon.png
135,Swaziland,Swaziland.png,assets/flags_new/png-1024/Swaziland.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Swaziland.png
136,Samoa,Samoa.png,assets/flags_new/png-1024/Samoa.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Samoa.png
137,Belgium,Belgium.png,assets/flags_new/png-1024/Belgium.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Belgium.png
